date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2025-10-20;02:00:00;Executed;"WWUM 00565691820";"TKMS AG & CO. KGAA";Security;Corporate action;DE000TKMS001;2;0,00;0,00;;;EUR
2025-10-13;11:26:48;Executed;"SCAL2BpaUhynPiP";"iShares Core MSCI World (Acc)";Security;Savings plan;IE00B4L5Y983;2,766251;108,45;-299,99992095;0,00;0,00;EUR
2025-10-09;02:00:00;Executed;"GSJEBOMHD3H6ELK8YRU7BP";"Scalable Capital Broker Sparplan";Cash;Deposit;;;;300,00;0,00;;EUR
2025-10-06;20:10:21;Executed;"SCALnsu9Ei2yqdn";"Advanced Micro Devices";Security;Sell;US0079031078;3;177,02;531,06;0,00;0,00;EUR
2025-10-06;20:09:40;Cancelled;"SCALwfnv9wM1xPG";"Advanced Micro Devices";Security;Sell;US0079031078;0;0,00;0,00;0,00;0,00;EUR
2025-10-06;20:02:30;Cancelled;"SCALg2ie4UtcmHm";"Advanced Micro Devices";Security;Sell;US0079031078;0;0,00;0,00;0,00;0,00;EUR
2025-10-06;19:49:16;Cancelled;"SCALHJUZqNS7CJ1";"Advanced Micro Devices";Security;Sell;US0079031078;0;0,00;0,00;0,00;0,00;EUR
2025-10-03;09:12:32;Executed;"SCALNtJUxyoF5WV";"Salzgitter";Security;Sell;DE0006202005;10;31,00;310,00;0,00;0,00;EUR
2025-10-03;02:00:00;Executed;"WWEK 52256870";"NVIDIA";Cash;Distribution;US67066G1040;;;0,01;0,00;0,02;EUR
2025-10-01;02:00:00;Executed;"267f6b11-1075-4e5b-9a26-11ea94f13ccb";;Cash;Interest;;;;123,95;0,00;44,39;EUR
2025-09-30;02:00:00;Executed;"52025003";"KKT-Abschluss";Cash;Interest;;;;5,56;0,00;0,00;EUR
2025-09-30;02:00:00;Executed;"DYCUEA8CJNEMVN5H";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2025-09-25;17:15:06;Executed;"SCALj9sXM4xjD4E";"Xtrackers MSCI World Information Technology (Acc)";Security;Savings plan;IE00BM67HT60;3,071882;97,66;-299,99999612;0,00;0,00;EUR
2025-09-25;17:07:27;Executed;"SCALib1BxT4VA2j";"iShares Nasdaq 100 (Acc)";Security;Savings plan;IE00B53SZB19;0,250626;1.197,00;-299,999322;0,00;0,00;EUR
2025-09-25;16:39:33;Executed;"SCALtMbotyne5MF";"Invesco Physical Gold A";Security;Savings plan;IE00B579F325;0,650448;307,48;-199,99975104;0,00;0,00;EUR
2025-09-25;16:34:42;Executed;"SCALZrnBc7URjTj";"iShares Core S&P 500 (Acc)";Security;Savings plan;IE00B5BMR087;0,495834;605,04;-299,99940336;0,00;0,00;EUR
2025-09-23;02:00:00;Executed;"XB6DVBTSRWKKXMRRQZT5Y8";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;1.100,00;0,00;;EUR
2025-09-16;02:00:00;Executed;"WWEK 51133968";"Alphabet A";Cash;Distribution;US02079K3059;;;0,37;0,00;0,16;EUR
2025-09-15;11:55:45;Executed;"SCALvJVL5H1hncS";"iShares Core MSCI World (Acc)";Security;Savings plan;IE00B4L5Y983;2,818621;106,435;-299,999926135;0,00;0,00;EUR
2025-09-12;02:00:00;Executed;"WWEK 50887989";"Microsoft";Cash;Distribution;US5949181045;;;0,99;0,00;0,42;EUR
2025-09-11;02:00:00;Executed;"TI7HJVP1DWPLKJDUMJJ5TH";"Scalable Capital Broker Sparplan";Cash;Deposit;;;;300,00;0,00;;EUR
2025-08-31;02:00:00;Executed;"FS58SLBWLEP8T24Z";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2025-08-29;12:04:20;Executed;"SCALYxzwmnPTraR";"Boeing Co";Security;Sell;US0970231058;3;201,40;604,20;0,00;0,00;EUR
2025-08-25;11:59:33;Executed;"SCALEsP5NmRsWjW";"Invesco Physical Gold A";Security;Savings plan;IE00B579F325;0,720824;277,46;-199,99982704;0,00;0,00;EUR
2025-08-25;11:54:38;Executed;"SCALKRNG9eg6KHR";"iShares Nasdaq 100 (Acc)";Security;Savings plan;IE00B53SZB19;0,261278;1.148,20;-299,9993996;0,00;0,00;EUR
2025-08-25;11:44:41;Executed;"SCALYQE648rfmdE";"iShares Core S&P 500 (Acc)";Security;Savings plan;IE00B5BMR087;0,50913;589,24;-299,9997612;0,00;0,00;EUR
2025-08-25;11:27:07;Executed;"SCALVMGxQ4HJcTR";"Xtrackers MSCI World Information Technology (Acc)";Security;Savings plan;IE00BM67HT60;3,269398;91,76;-299,99996048;0,00;0,00;EUR
2025-08-21;02:00:00;Executed;"BMXLGL7CGAZ9EVPGHRGZ2Q";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;1.100,00;0,00;;EUR
2025-08-15;02:00:00;Executed;"WWEK 49922239";"Apple";Cash;Distribution;US0378331005;;;0,47;0,00;0,20;EUR
2025-08-13;11:53:29;Executed;"SCALH3xhvv2f7gP";"iShares Core MSCI World (Acc)";Security;Savings plan;IE00B4L5Y983;2,874802;104,355;-299,99996271;0,00;0,00;EUR
2025-08-11;02:00:00;Executed;"KEH1FZDZKXH2KCPF2AQ8KX";"Scalable Capital Broker Sparplan";Cash;Deposit;;;;300,00;0,00;;EUR
2025-08-06;02:00:00;Executed;"WWEK 49719521";"ASML Holding";Cash;Distribution;NL0010273215;;;1,36;0,00;0,24;EUR
2025-08-05;02:00:00;Executed;"JLJAXUSIECXGGPWAMAUVCC";"Scalable Capital Broker Auszahlung";Cash;Withdrawal;;;;-30.000,00;0,00;;EUR
2025-07-31;02:00:00;Executed;"F3MAYVNP75IYGGK7";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2025-07-25;11:59:19;Executed;"SCALWBfJn73YJXy";"iShares Nasdaq 100 (Acc)";Security;Savings plan;IE00B53SZB19;0,264;1.134,80;-299,5872;0,00;0,00;EUR
2025-07-25;11:43:45;Executed;"SCAL1QNgUkjorja";"Xtrackers MSCI World Information Technology (Acc)";Security;Savings plan;IE00BM67HT60;3,302;90,84;-299,95368;0,00;0,00;EUR
2025-07-25;11:41:10;Executed;"SCALibuYyKEPoVc";"iShares Core S&P 500 (Acc)";Security;Savings plan;IE00B5BMR087;0,517;579,42;-299,56014;0,00;0,00;EUR
2025-07-25;11:02:43;Executed;"SCALaMHzvEf9uCx";"Invesco Physical Gold A";Security;Savings plan;IE00B579F325;0,728;274,50;-199,836;0,00;0,00;EUR
2025-07-24;02:00:00;Executed;"GUTHNPM4WPMIHTWFVDSMZH";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;1.100,00;0,00;;EUR
2025-07-14;11:55:57;Executed;"SCALWHJMdn3Ypat";"iShares Core MSCI World (Acc)";Security;Savings plan;IE00B4L5Y983;2,965;101,18;-299,9987;0,00;0,00;EUR
2025-07-13;02:00:00;Executed;"HN7KSM2X6QZRRYPVMCAAMF";"Scalable Capital Broker Auszahlung";Cash;Withdrawal;;;;-10.000,00;0,00;;EUR
2025-07-11;02:00:00;Executed;"4PARBWBDIXKFGRD8KGWIYM";"Scalable Capital Broker Sparplan";Cash;Deposit;;;;300,00;0,00;;EUR
2025-07-10;07:30:32;Executed;"SCALTaxZ8xr43Aw";"Salzgitter";Security;Buy;DE0006202005;10;29,08;-290,80;0,00;0,00;EUR
2025-07-07;18:14:40;Executed;"SCALbewYXnUUdSD";"Rheinmetall";Security;Buy;DE0007030009;1;1.794,00;-1.794,00;0,00;0,00;EUR
2025-07-04;02:00:00;Executed;"WWEK 48775217";"NVIDIA";Cash;Distribution;US67066G1040;;;0,01;0,00;0,02;EUR
2025-07-01;02:00:00;Executed;"8cd3688e-99fc-437e-897f-b6b188c42faa";;Cash;Interest;;;;249,06;0,00;89,22;EUR
2025-06-30;02:00:00;Executed;"52025002";"KKT-Abschluss";Cash;Interest;;;;12,28;0,00;0,00;EUR
2025-06-30;02:00:00;Executed;"SABWQK1ZI6WAVSXE";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2025-06-25;15:31:32;Executed;"SCALGXffyxWi1eH";"iShares Nasdaq 100 (Acc)";Security;Savings plan;IE00B53SZB19;0,272;1.101,80;-299,6896;0,00;0,00;EUR
2025-06-25;15:17:54;Executed;"SCAL2bnWoRhRDQj";"Invesco Physical Gold A";Security;Savings plan;IE00B579F325;0,725;275,60;-199,81;0,00;0,00;EUR
2025-06-25;14:49:41;Executed;"SCALic4fHri2x7U";"Xtrackers MSCI World Information Technology (Acc)";Security;Savings plan;IE00BM67HT60;3,452;86,90;-299,9788;0,00;0,00;EUR
2025-06-25;14:47:28;Executed;"SCALFAnvDfpDDDD";"iShares Core S&P 500 (Acc)";Security;Savings plan;IE00B5BMR087;0,534;561,32;-299,74488;0,00;0,00;EUR
2025-06-24;02:00:00;Executed;"EVGZDYDVBFNCOJMZEVU8K2";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;1.100,00;0,00;;EUR
2025-06-18;02:00:00;Executed;"WWEK 47617035";"Alphabet A";Cash;Distribution;US02079K3059;;;0,39;0,00;0,16;EUR
2025-06-13;12:12:20;Executed;"SCALGxq9YWkPwVc";"iShares Core MSCI World (Acc)";Security;Savings plan;IE00B4L5Y983;3,027;99,10;-299,9757;0,00;0,00;EUR
2025-06-13;11:27:34;Executed;"SCALxXCJYQmEAe2";"Franklin FTSE India (Acc)";Security;Savings plan;IE00BHZRQZ17;5,165;38,715;-199,962975;0,00;0,00;EUR
2025-06-13;02:00:00;Executed;"WWEK 47250491";"Microsoft";Cash;Distribution;US5949181045;;;1,00;0,00;0,44;EUR
2025-06-12;02:00:00;Executed;"7AZMKK43NUVY5HSYFXXRSB";"Scalable Capital Broker 2x Sparplan";Cash;Deposit;;;;500,00;0,00;;EUR
2025-05-31;02:00:00;Executed;"CUTC2954EBGZZH0H";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2025-05-26;11:39:08;Executed;"SCALyNf2bxpyHc4";"iShares Nasdaq 100 (Acc)";Security;Savings plan;IE00B53SZB19;0,281;1.066,60;-299,7146;0,00;0,00;EUR
2025-05-26;11:37:36;Executed;"SCALj639ps91k7f";"iShares Core S&P 500 (Acc)";Security;Savings plan;IE00B5BMR087;0,545;549,54;-299,4993;0,00;0,00;EUR
2025-05-26;11:33:50;Executed;"SCALAxs7CrkggAm";"Invesco Physical Gold A";Security;Savings plan;IE00B579F325;0,709;281,80;-199,7962;0,00;0,00;EUR
2025-05-26;11:07:17;Executed;"SCALrPooJnCh5o8";"Xtrackers MSCI World Information Technology (Acc)";Security;Savings plan;IE00BM67HT60;3,635;82,52;-299,9602;0,00;0,00;EUR
2025-05-23;02:00:00;Executed;"3QLB1GXGXWUAB3YA73ESHQ";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;1.100,00;0,00;;EUR
2025-05-16;02:00:00;Executed;"WWEK 45613662";"SAP SE";Cash;Distribution;DE0007164600;;;4,70;0,00;0,00;EUR
2025-05-16;02:00:00;Executed;"WWEK 45676125";"Apple";Cash;Distribution;US0378331005;;;0,48;0,00;0,22;EUR
2025-05-13;13:54:55;Executed;"SCALDAqNwqCaAey";"iShares Core MSCI World (Acc)";Security;Savings plan;IE00B4L5Y983;3,007;99,738;-299,912166;0,00;0,00;EUR
2025-05-13;13:35:03;Executed;"SCAL9ETmhbQtFRC";"Franklin FTSE India (Acc)";Security;Savings plan;IE00BHZRQZ17;4,996;40,025;-199,9649;0,00;0,00;EUR
2025-05-12;02:00:00;Executed;"QEUGWXL95PZFUTYD8HRGD";"Scalable Capital Broker 2x Sparplan";Cash;Deposit;;;;500,00;0,00;;EUR
2025-05-06;02:00:00;Executed;"WWEK 45016345";"ASML Holding";Cash;Distribution;NL0010273215;;;1,56;0,00;0,28;EUR
2025-04-30;02:00:00;Executed;"Q9AE6UUX1PMFA2VI";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2025-04-25;11:41:10;Executed;"SCALqTTpfCTj3Wt";"Xtrackers MSCI World Information Technology (Acc)";Security;Savings plan;IE00BM67HT60;4,066;73,78;-299,98948;0,00;0,00;EUR
2025-04-25;11:32:14;Executed;"SCALahbWMV2CHAP";"iShares Nasdaq 100 (Acc)";Security;Savings plan;IE00B53SZB19;0,308;972,40;-299,4992;0,00;0,00;EUR
2025-04-25;11:27:29;Executed;"SCAL3KEfRKJCRiC";"Invesco Physical Gold A";Security;Savings plan;IE00B579F325;0,712;280,54;-199,74448;0,00;0,00;EUR
2025-04-25;11:17:56;Executed;"SCALLK63ov9TbrF";"iShares Core S&P 500 (Acc)";Security;Savings plan;IE00B5BMR087;0,582;514,98;-299,71836;0,00;0,00;EUR
2025-04-24;02:00:00;Executed;"FMOHWXN5EPPAUAMQ6K3G7D";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;1.100,00;0,00;;EUR
2025-04-14;11:09:39;Executed;"SCALnYa1c75KFkw";"Franklin FTSE India (Acc)";Security;Savings plan;IE00BHZRQZ17;5,37;37,24;-199,9788;0,00;0,00;EUR
2025-04-14;11:06:57;Executed;"SCALWFMWFjoF51k";"iShares Core MSCI World (Acc)";Security;Savings plan;IE00B4L5Y983;3,318;90,392;-299,920656;0,00;0,00;EUR
2025-04-11;02:00:00;Executed;"ICWNQLRTSMM81RVUFC79CF";"Scalable Capital Broker 2x Sparplan";Cash;Deposit;;;;500,00;0,00;;EUR
2025-04-03;02:00:00;Executed;"WWEK 43961542";"NVIDIA";Cash;Distribution;US67066G1040;;;0,02;0,00;0,02;EUR
2025-04-01;02:00:00;Executed;"0a86cbbb-9d31-4701-9d2e-22560d64df09";;Cash;Interest;;;;172,00;0,00;61,62;EUR
2025-03-31;02:00:00;Executed;"XSWFHXCXE3ECYE25";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2025-03-31;02:00:00;Executed;"52025001";"KKT-Abschluss";Cash;Interest;;;;110,65;0,00;0,00;EUR
2025-03-25;11:49:41;Executed;"SCALzwou4Qxsjvf";"Invesco Physical Gold A";Security;Savings plan;IE00B579F325;0,742;269,46;-199,93932;0,00;0,00;EUR
2025-03-25;11:46:16;Executed;"SCALg3MRTWazhjB";"iShares Core S&P 500 (Acc)";Security;Savings plan;IE00B5BMR087;0,529;567,10;-299,9959;0,00;0,00;EUR
2025-03-25;11:38:42;Executed;"SCALCG9DtKXZmEm";"Xtrackers MSCI World Information Technology (Acc)";Security;Savings plan;IE00BM67HT60;3,654;82,08;-299,92032;0,00;0,00;EUR
2025-03-25;11:04:36;Executed;"SCAL2kjb95tkGTh";"iShares Nasdaq 100 (Acc)";Security;Savings plan;IE00B53SZB19;0,281;1.067,40;-299,9394;0,00;0,00;EUR
2025-03-24;01:00:00;Executed;"W9QJR66DMJJ94VZQXKWQSG";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;1.100,00;0,00;;EUR
2025-03-18;01:00:00;Executed;"WWEK 42966504";"Alphabet A";Cash;Distribution;US02079K3059;;;0,39;0,00;0,16;EUR
2025-03-14;01:00:00;Executed;"WWEK 42680950";"Microsoft";Cash;Distribution;US5949181045;;;1,06;0,00;0,46;EUR
2025-03-13;11:23:47;Executed;"SCALm2DdR155MsB";"Franklin FTSE India (Acc)";Security;Savings plan;IE00BHZRQZ17;5,432;36,815;-199,97908;0,00;0,00;EUR
2025-03-13;11:21:51;Executed;"SCAL8Jk8qP7dniy";"iShares Core MSCI World (Acc)";Security;Savings plan;IE00B4L5Y983;3,072;97,64;-299,95008;0,00;0,00;EUR
2025-03-12;01:00:00;Executed;"WDVBUGBW1NW4FLDK1XJHHQ";"Scalable Capital Broker 2x Sparplan";Cash;Deposit;;;;500,00;0,00;;EUR
2025-03-01;01:00:00;Executed;"JZE97WEEEGIK8YRB";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2025-02-25;12:12:12;Executed;"SCAL7xA8oHHRpLv";"Invesco Physical Gold A";Security;Savings plan;IE00B579F325;0,739;270,48;-199,88472;0,00;0,00;EUR
2025-02-25;11:49:50;Executed;"SCALF2w31RySBv4";"iShares Nasdaq 100 (Acc)";Security;Savings plan;IE00B53SZB19;0,258;1.161,80;-299,7444;0,00;0,00;EUR
2025-02-25;11:43:35;Executed;"SCALuR8jH8cYekb";"Xtrackers MSCI World Information Technology (Acc)";Security;Savings plan;IE00BM67HT60;3,341;89,78;-299,95498;0,00;0,00;EUR
2025-02-25;11:39:58;Executed;"SCALxobkZFReMdF";"iShares Core S&P 500 (Acc)";Security;Savings plan;IE00B5BMR087;0,494;606,20;-299,4628;0,00;0,00;EUR
2025-02-24;01:00:00;Executed;"ST5KUZESZNNKIHRKORJOIX";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;1.100,00;0,00;;EUR
2025-02-19;01:00:00;Executed;"WWEK 42014248";"ASML Holding";Cash;Distribution;NL0010273215;;;1,29;0,00;0,23;EUR
2025-02-18;07:30:09;Executed;"SCALQFfoc9Rvi3A";"Zalando";Security;Buy;DE000ZAL1111;15;39,66;-594,90;0,00;0,00;EUR
2025-02-14;01:00:00;Executed;"WWEK 41771303";"Apple";Cash;Distribution;US0378331005;;;0,51;0,00;0,20;EUR
2025-02-13;11:49:04;Executed;"SCAL9f6x8f1Gpjf";"iShares Core MSCI World (Acc)";Security;Savings plan;IE00B4L5Y983;2,784;107,72;-299,8924;0,00;0,00;EUR
2025-02-13;11:43:11;Executed;"SCALoBcc5vELYVK";"Franklin FTSE India (Acc)";Security;Savings plan;IE00BHZRQZ17;5,057;39,545;-199,979;0,00;0,00;EUR
2025-02-12;01:00:00;Executed;"GW7HHJ66EBJRDKAFTKHNAS";"Scalable Capital Broker 2x Sparplan";Cash;Deposit;;;;500,00;0,00;;EUR
2025-02-10;01:00:00;Executed;"kGvXFPoZTGrA4HsdQxsFTt";"Scalable Capital";Cash;Deposit;;;;10.000,00;0,00;;EUR
2025-02-07;01:00:00;Executed;"j8r6Tisww2FD6pi3t6amEi";"Scalable Capital";Cash;Deposit;;;;10.000,00;0,00;;EUR
2025-02-07;01:00:00;Executed;"5WekHEBCXZHTAydVbcvjmq";"Scalable Capital";Cash;Deposit;;;;10.000,00;0,00;;EUR
2025-02-06;01:00:00;Executed;"dvsazxZbJJhMo3ND31br6i";"Scalable Capital";Cash;Deposit;;;;10.000,00;0,00;;EUR
2025-02-06;01:00:00;Executed;"iqWHYK2DzLLAApeQumAVQs";"Scalable Capital";Cash;Deposit;;;;10.000,00;0,00;;EUR
2025-02-05;01:00:00;Executed;"WWEK 41037474";"thyssenkrupp";Cash;Distribution;DE0007500001;;;6,00;0,00;0,00;EUR
2025-02-03;01:00:00;Executed;"GT3TAGYFCHCJDPZB";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2025-02-03;01:00:00;Executed;"6CFS87eXfMT1qSGvsJAgs6";"Scalable Capital Broker";Cash;Deposit;;;;10.000,00;0,00;;EUR
2025-02-03;01:00:00;Executed;"VMLLD7EDXF1ZTSWWSNPEGC";"Scalable Capital Broker Auszahlung";Cash;Withdrawal;;;;-40.000,00;0,00;;EUR
2025-01-27;15:51:58;Executed;"SCAL6sP9JEqYiZu";"iShares Core S&P 500 (Acc)";Security;Savings plan;IE00B5BMR087;0,495;605,68;-299,8116;0,00;0,00;EUR
2025-01-27;15:49:12;Executed;"SCALMkyionhQBaN";"iShares Nasdaq 100 (Acc)";Security;Savings plan;IE00B53SZB19;0,26;1.153,00;-299,7799;0,00;0,00;EUR
2025-01-27;15:13:40;Executed;"SCAL1GLjpK8ZQ9z";"Invesco Physical Gold A";Security;Savings plan;IE00B579F325;0,792;252,50;-199,98;0,00;0,00;EUR
2025-01-27;15:00:41;Executed;"SCALhEnxHKdwkub";"Xtrackers MSCI World Information Technology (Acc)";Security;Savings plan;IE00BM67HT60;3,394;88,39;-299,9956;0,00;0,00;EUR
2025-01-24;11:19:31;Executed;"SCALYzEPALhtA7z";"NVIDIA";Security;Buy;US67066G1040;4;140,30;-561,20;0,00;0,00;EUR
2025-01-24;01:00:00;Executed;"DWRKBGSBVURP6NR1QVQYRO";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;1.100,00;0,00;;EUR
2025-01-21;09:44:40;Executed;"SCALRDuQTTzN2SK";"SAP SE";Security;Buy;DE0007164600;2;257,30;-514,60;0,00;0,00;EUR
2025-01-13;13:32:27;Executed;"SCALAFFdoQdvfhB";"Franklin FTSE India (Acc)";Security;Savings plan;IE00BHZRQZ17;4,874;41,03;-199,9802;0,00;0,00;EUR
2025-01-13;13:25:57;Executed;"SCALwXSLwLKY61R";"iShares Core MSCI World (Acc)";Security;Savings plan;IE00B4L5Y983;2,883;104,03;-299,9184;0,00;0,00;EUR
2025-01-10;01:00:00;Executed;"6ZM3SJNBQX1Z1EWBFYBUNX";"Scalable Capital Broker 2x Sparplan";Cash;Deposit;;;;500,00;0,00;;EUR
2025-01-08;01:00:00;Executed;"949474060";"Scalable Capital";Cash;Deposit;;;;10.000,00;0,00;;EUR
2025-01-06;01:00:00;Executed;"949327271";"Scalable Capital";Cash;Deposit;;;;10.000,00;0,00;;EUR
2025-01-02;01:00:00;Executed;"QJSWTHOAENOG1VGQ";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2024-12-31;01:00:00;Executed;"52024004";"KKT-Abschluss";Cash;Interest;;;;25,46;0,00;0,00;EUR
2024-12-30;01:00:00;Executed;"948756107";"Scalable Capital";Cash;Deposit;;;;10.000,00;0,00;;EUR
2024-12-27;11:40:12;Executed;"SCALuLUB8hvtaQB";"iShares Nasdaq 100 (Acc)";Security;Savings plan;IE00B53SZB19;0,251;1.191,40;-299,0414;0,00;0,00;EUR
2024-12-27;11:35:15;Executed;"SCALjwMcsuneYRS";"Xtrackers MSCI World Information Technology (Acc)";Security;Savings plan;IE00BM67HT60;3,18;94,33;-299,9694;0,00;0,00;EUR
2024-12-27;11:26:36;Executed;"SCALi6T1tDGMKLD";"iShares Core S&P 500 (Acc)";Security;Savings plan;IE00B5BMR087;0,489;613,02;-299,7667;0,00;0,00;EUR
2024-12-27;11:02:47;Executed;"SCALJEVBRK4V5zA";"Invesco Physical Gold A";Security;Savings plan;IE00B579F325;0,822;243,04;-199,7788;0,00;0,00;EUR
2024-12-24;01:00:00;Executed;"MEZ8BGXGJFM96WUPD7F5OC";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;1.100,00;0,00;;EUR
2024-12-23;01:00:00;Executed;"948485979";"Scalable Capital";Cash;Deposit;;;;10.000,00;0,00;;EUR
2024-12-17;01:00:00;Executed;"WWEK 35928783";"Alphabet A";Cash;Distribution;US02079K3059;;;0,39;0,00;0,18;EUR
2024-12-13;13:43:56;Executed;"SCAL6Dxtz1XEPTt";"Franklin FTSE India (Acc)";Security;Savings plan;IE00BHZRQZ17;4,568;43,78;-199,987;0,00;0,00;EUR
2024-12-13;13:39:12;Executed;"SCALtq4Cq7L2gL8";"iShares Core MSCI World (Acc)";Security;Savings plan;IE00B4L5Y983;2,828;106,045;-299,8952;0,00;0,00;EUR
2024-12-13;01:00:00;Executed;"WWEK 35514839";"Microsoft";Cash;Distribution;US5949181045;;;1,10;0,00;0,48;EUR
2024-12-12;01:00:00;Executed;"NXBQ7C7EYZRRYBIYSWSMYY";"Scalable Capital Broker 2x Sparplan";Cash;Deposit;;;;500,00;0,00;;EUR
2024-12-10;08:54:13;Executed;"SCALBJoW1n8B6Uq";"Rivian Automotive A";Security;Sell;US76954A1034;36;14,00;504,00;0,00;0,00;EUR
2024-12-02;01:00:00;Executed;"UJOYQHZWFJBI1AQG";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2024-11-28;12:11:21;Executed;"SCALn4ySs7cH1Uf";"Qualcomm";Security;Sell;US7475251036;3;148,60;445,80;0,00;0,00;EUR
2024-11-28;12:10:55;Executed;"SCAL5ktdsPG9W1g";"BYD Co H";Security;Sell;CNE100000296;20;30,51;610,20;0,00;0,00;EUR
2024-11-25;15:26:54;Cancelled;"SCALT6BMnmJcjNS";"CoinShares Physical Bitcoin";Security;Sell;GB00BLD4ZL17;0;0,00;0,00;0,00;0,00;EUR
2024-11-25;15:25:38;Executed;"SCALU95wPuZTRe3";"CoinShares Physical Bitcoin";Security;Sell;GB00BLD4ZL17;8;89,275;714,20;4,92;0,00;EUR
2024-11-25;11:42:40;Executed;"SCALqjt8VDcHYZY";"iShares Core S&P 500 (Acc)";Security;Savings plan;IE00B5BMR087;0,495;605,74;-299,8413;0,00;0,00;EUR
2024-11-25;11:31:43;Executed;"SCALYpuRG1gmHoZ";"iShares Nasdaq 100 (Acc)";Security;Savings plan;IE00B53SZB19;0,263;1.138,40;-299,3992;0,00;0,00;EUR
2024-11-25;11:18:51;Executed;"SCALtth7bvhAPNK";"Xtrackers MSCI World Information Technology (Acc)";Security;Savings plan;IE00BM67HT60;3,321;90,31;-299,9195;0,00;0,00;EUR
2024-11-25;11:00:44;Executed;"SCAL834HmG6ELiZ";"Invesco Physical Gold A";Security;Savings plan;IE00B579F325;0,813;245,86;-199,8841;0,00;0,00;EUR
2024-11-22;20:41:31;Executed;"SCALQHUzpRWubwz";"CoinShares Physical Bitcoin";Security;Buy;GB00BLD4ZL17;10;92,385;-923,85;6,37;0,00;EUR
2024-11-22;01:00:00;Executed;"HSKSAVFZ3WAOITBRK4Y2VM";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;1.100,00;0,00;;EUR
2024-11-19;09:04:52;Executed;"SCALc63ui6iu9wL";"iShares MSCI India (Acc)";Security;Sell;IE00BZCQB185;134,7;9,028;1.216,0716;0,00;0,00;EUR
2024-11-19;01:00:00;Executed;"WWEK 34536214";"Apple";Cash;Distribution;US0378331005;;;0,51;0,00;0,20;EUR
2024-11-15;19:16:35;Executed;"SCALumujEQsKed4";"NVIDIA";Security;Sell;US67066G1040;15;133,62;2.004,30;0,00;0,00;EUR
2024-11-13;14:05:44;Executed;"SCALvRCztc2kVqv";"iShares MSCI India (Acc)";Security;Savings plan;IE00BZCQB185;22,502;8,888;-199,9977;0,00;0,00;EUR
2024-11-13;14:01:58;Executed;"SCALZP4fGaMKxfV";"iShares Core MSCI World (Acc)";Security;Savings plan;IE00B4L5Y983;2,921;102,70;-299,9867;0,00;0,00;EUR
2024-11-13;13:50:15;Executed;"SCALCScexFwaxr8";"Franklin FTSE India (Acc)";Security;Savings plan;IE00BHZRQZ17;4,842;41,30;-199,9746;0,00;0,00;EUR
2024-11-12;08:00:41;Executed;"SCALLGTMjk7KP8S";"ON Semiconductor";Security;Sell;US6821891057;3;66,14;198,4199;0,99;0,00;EUR
2024-11-12;01:00:00;Executed;"HZZXKZMVNZEF1MPP95IU8F";"Scalable Capital Broker 3x Sparplan";Cash;Deposit;;;;700,00;0,00;;EUR
2024-11-11;15:30:08;Executed;"SCALSi8mb7xq5r4";"Starbucks";Security;Sell;US8552441094;3;92,14;276,42;0,00;0,00;EUR
2024-11-07;01:00:00;Executed;"WWEK 34233050";"ASML Holding";Cash;Distribution;NL0010273215;;;1,29;0,00;0,23;EUR
2024-11-04;01:00:00;Executed;"VSX72CT0JVVZC9DQ";"Entgelt PRIME+ Broker";Cash;Fee;;;;-4,99;0,00;;EUR
2024-10-29;01:00:00;Executed;"CANCEL-WWEK 25714438";"Qualcomm";Cash;Distribution;US7475251036;;;-1,55;0,00;-0,66;EUR
2024-10-29;01:00:00;Executed;"WWEK 34048528";"Qualcomm";Cash;Distribution;US7475251036;;;1,55;0,00;0,66;EUR
